request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_232,351.39,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_233,1537099.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_234,471.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Safe amount today is 967.2; selected full_payment because its payments stay above the minimum balance.
request_236,14116999.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Safe amount today is 23826000; selected full_payment because its payments stay above the minimum balance.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Safe amount today is 663.6; selected installments because its payments stay above the minimum balance.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Safe amount today is 642; selected full_payment because its payments stay above the minimum balance.
request_240,5480.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Safe amount today is 21052000; selected installments because its payments stay above the minimum balance.
request_242,75.4,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Safe amount today is 17468; selected full_payment because its payments stay above the minimum balance.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Safe amount today is 49918; selected full_payment because its payments stay above the minimum balance.
request_245,51930.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Safe amount today is 64086; selected installments because its payments stay above the minimum balance.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Safe amount today is 1059.3; selected full_payment because its payments stay above the minimum balance.
request_248,760.36,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_249,294.4,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_250,5000.59,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_252,7993299.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_253,865.56,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_254,1696.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Safe amount today is 3345000; selected full_payment because its payments stay above the minimum balance.
request_256,161763.28,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_257,1023.19,affordable_later,wait,none,2025-11-15,none,The full amount first passes the 90-day safety check on 2025-11-15; wait until then.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Safe amount today is 1113.6; selected full_payment because its payments stay above the minimum balance.
request_259,333.3,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_260,12646399.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Safe amount today is 1830.4; selected full_payment because its payments stay above the minimum balance.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Safe amount today is 9236000; selected full_payment because its payments stay above the minimum balance.
request_263,11077.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_264,31140.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Safe amount today is 45970; selected full_payment because its payments stay above the minimum balance.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Safe amount today is 935; selected installments because its payments stay above the minimum balance.
request_267,1925.0,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-05,stop:event_24541,Safe amount today is 1925; selected installments because its payments stay above the minimum balance.
request_268,378.52,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_269,6628.6,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_270,489.4,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_271,32620.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_272,8593623.99,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_273,9940800.0,not_affordable,not_recommended,none,,none,No eligible payment plan completes by the desired date while maintaining the minimum balance.
request_274,2713.7,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-04,none,Safe amount today is 2713.7; selected installments because its payments stay above the minimum balance.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Safe amount today is 15884000; selected full_payment because its payments stay above the minimum balance.
